2026-04-09T13:10:25 | INFO     | src.cv_models.eye_contact:150 | EyeContactDetector initialised (window=12, threshold=0.50).
2026-04-09T13:10:25 | INFO     | src.cv_models.posture_detection:144 | PostureDetector initialised (PoseLandmarker LITE, complexity=0).
2026-04-09T13:10:25 | INFO     | src.cv_models.feedback_engine:185 | FeedbackEngine initialised.
2026-04-09T13:10:37 | INFO     | __main__:340 | AI Interview Trainer — V2 | camera=0 | window='AI Interview Trainer — V2 Behavior Analysis'
2026-04-09T13:10:37 | INFO     | __main__:204 | Initialising face detector …
2026-04-09T13:10:37 | DEBUG    | src.cv_models.face_detection:87 | Loading Haar Cascade from: /Users/galaxy_grid/Acads/Projects/Ai/ai-interview-trainer/.venv/lib/python3.14/site-packages/cv2/data/haarcascade_frontalface_default.xml
2026-04-09T13:10:37 | INFO     | src.cv_models.face_detection:97 | Haar Cascade classifier loaded successfully.
2026-04-09T13:10:37 | INFO     | __main__:213 | Initialising emotion detector (FaceLandmarker blendshapes) …
2026-04-09T13:10:37 | INFO     | src.cv_models.emotion_detection:169 | EmotionDetector initialised (FaceLandmarker blendshapes, interval=5).
2026-04-09T13:10:37 | INFO     | __main__:219 | Initialising eye-contact detector (FaceLandmarker iris) …
2026-04-09T13:10:37 | INFO     | src.cv_models.eye_contact:150 | EyeContactDetector initialised (window=12, threshold=0.50).
2026-04-09T13:10:37 | INFO     | __main__:225 | Initialising posture detector (PoseLandmarker LITE) …
2026-04-09T13:10:37 | INFO     | src.cv_models.posture_detection:144 | PostureDetector initialised (PoseLandmarker LITE, complexity=0).
2026-04-09T13:10:37 | INFO     | src.cv_models.feedback_engine:185 | FeedbackEngine initialised.
2026-04-09T13:10:37 | INFO     | __main__:232 | Starting V2 pipeline. Press 'q' to quit.
2026-04-09T13:10:37 | INFO     | src.preprocessing.video_capture:95 | Opening camera device (index=0, 1280x720 @ 30 fps).
2026-04-09T13:10:39 | INFO     | src.preprocessing.video_capture:120 | Camera opened successfully. Actual resolution: 1280x720 @ 30.0 fps.
2026-04-09T13:10:39 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:39 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.866  smoothed=0.866
2026-04-09T13:10:39 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=173.2°  lean=5.8°
2026-04-09T13:10:39 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:39 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.847  smoothed=0.857
2026-04-09T13:10:39 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=172.8°  lean=8.8°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.790  smoothed=0.834
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=170.0°  lean=10.3°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.859  smoothed=0.840
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=167.8°  lean=10.7°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.02 surprise=0.00
